market_id,market,countryiso3,admin1,admin2,latitude,longitude
974,National Average,IDN,,,,
2821,Pasar Lapang,IDN,ACEH,ACEH BARAT,4.17,96.14
2822,Pasar Ujong Baro,IDN,ACEH,ACEH BARAT,4.15,96.13
2823,Pasar Peunayong,IDN,ACEH,KOTA BANDA ACEH,5.56,95.32
2824,Pasar Ulee Kareng,IDN,ACEH,KOTA BANDA ACEH,5.55,95.36
2825,Pasar Inpres,IDN,ACEH,KOTA LHOKSEUMAWE,5.18,97.14
2826,Pasar Kota Lhokseumawe,IDN,ACEH,KOTA LHOKSEUMAWE,5.17,97.15
2827,Pasar Anyar (Kab. Buleleng),IDN,BALI,BULELENG,-8.11,115.09
2828,Pasar Banyuasri,IDN,BALI,BULELENG,-8.11,115.08
2829,Pasar Badung,IDN,BALI,KOTA DENPASAR,-8.66,115.21
2830,Pasar Kreneng,IDN,BALI,KOTA DENPASAR,-8.66,115.22
2831,Pasar Kelapa,IDN,BANTEN,KOTA CILEGON,-6.02,106.05
2832,Pasar Kranggot,IDN,BANTEN,KOTA CILEGON,-6.02,106.07
2833,Pasar Rawu,IDN,BANTEN,KOTA SERANG,-6.11,106.17
2834,Pasar Royal Lama,IDN,BANTEN,KOTA SERANG,-6.11,106.15
2835,Pasar Anyar (Kota Tangerang),IDN,BANTEN,KOTA TANGERANG,-6.18,106.64
2836,Pasar Cileduk,IDN,BANTEN,KOTA TANGERANG,-6.23,106.71
2837,Pasar Barukoto (Kota Bengkulu),IDN,BENGKULU,KOTA BENGKULU,-3.79,102.25
2838,Pasar Minggu (Kota Bengkulu),IDN,BENGKULU,KOTA BENGKULU,-3.79,102.27
2839,Pasar Pagar Dewa,IDN,BENGKULU,KOTA BENGKULU,-3.84,102.32
2840,Pasar Panorama,IDN,BENGKULU,KOTA BENGKULU,-3.82,102.3
2841,Pasar Beringharjo,IDN,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,-7.8,110.37
2842,Pasar Kranggan,IDN,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,-7.78,110.37
2843,Pasar Minggu (Kota Jakarta Selatan),IDN,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.28,106.84
2844,Pasar Jatinegara,IDN,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.22,106.86
2845,Pasar Kramatjati,IDN,DKI JAKARTA,KOTA JAKARTA TIMUR,-6.27,106.87
2846,Pasar Liluwo,IDN,GORONTALO,KOTA GORONTALO,0.57,123.06
2847,Pasar Sentral (Kota Gorontalo),IDN,GORONTALO,KOTA GORONTALO,0.55,123.06
2848,Pasar Tua Biawu,IDN,GORONTALO,KOTA GORONTALO,0.53,123.06
2849,Pasar Bungur,IDN,JAMBI,BUNGO,-1.49,102.11
2850,Pasar Seroja,IDN,JAMBI,BUNGO,-1.48,102.12
2851,Pasar Angso Duo Jambi,IDN,JAMBI,KOTA JAMBI,-1.59,103.61
2852,Pasar Talang Banjar Jambi,IDN,JAMBI,KOTA JAMBI,-1.6,103.64
2853,Pasar Mundu,IDN,JAWA BARAT,CIREBON,-6.76,108.59
2854,Pasar Weru,IDN,JAWA BARAT,CIREBON,-6.7,108.51
2855,Pasar Kiara Condong,IDN,JAWA BARAT,KOTA BANDUNG,-6.93,107.64
2856,Pasar Kosambi,IDN,JAWA BARAT,KOTA BANDUNG,-6.92,107.62
2857,Pasar Kranji,IDN,JAWA BARAT,KOTA BEKASI,-6.24,106.97
2858,Pasar Pondok Gede (Kota Bekasi),IDN,JAWA BARAT,KOTA BEKASI,-6.28,106.91
2859,Pasar Anyar (Kota Bogor),IDN,JAWA BARAT,KOTA BOGOR,-6.59,106.79
2860,Pasar Warung Jambu 2,IDN,JAWA BARAT,KOTA BOGOR,-6.57,106.81
2861,Pasar Kanoman,IDN,JAWA BARAT,KOTA CIREBON,-6.72,108.57
2862,Pasar Kramat,IDN,JAWA BARAT,KOTA CIREBON,-6.7,108.56
2863,Pasar Agung,IDN,JAWA BARAT,KOTA DEPOK,-6.39,106.85
2864,Pasar Cisalak,IDN,JAWA BARAT,KOTA DEPOK,-6.38,106.87
2865,Pasar Gudang,IDN,JAWA BARAT,KOTA SUKABUMI,-6.93,106.93
2866,Pasar Pelita,IDN,JAWA BARAT,KOTA SUKABUMI,-6.92,106.93
2867,Pasar Cikurubuk,IDN,JAWA BARAT,KOTA TASIKMALAYA,-7.34,108.2
2868,Pasar Pancasila,IDN,JAWA BARAT,KOTA TASIKMALAYA,-7.33,108.23
2869,Pasar Manonjaya,IDN,JAWA BARAT,TASIKMALAYA,-7.35,108.3
2870,Pasar Singaparna,IDN,JAWA BARAT,TASIKMALAYA,-7.35,108.11
2871,Pasar Manis,IDN,JAWA TENGAH,BANYUMAS,-7.42,109.23
2872,Pasar Wage,IDN,JAWA TENGAH,BANYUMAS,-7.43,109.25
2873,Pasar Kota Boyolali (Kab. Boyolali),IDN,JAWA TENGAH,BOYOLALI,-7.53,110.6
2874,Pasar Sunggingan (Kab. Boyolali),IDN,JAWA TENGAH,BOYOLALI,-7.52,110.6
2875,Pasar Gede (Kab. Cilacap),IDN,JAWA TENGAH,CILACAP,-7.73,109.01
2876,Pasar Sidodadi,IDN,JAWA TENGAH,CILACAP,-7.72,109.01
2877,Pasar Bejen (Kab. Karanganyar),IDN,JAWA TENGAH,KARANGANYAR,-7.61,110.97
2878,Pasar Jungke (Kab. Karanganyar),IDN,JAWA TENGAH,KARANGANYAR,-7.6,110.95
2879,Pasar Delanggu,IDN,JAWA TENGAH,KLATEN,-7.62,110.7
2880,Pasar Klaten Kota,IDN,JAWA TENGAH,KLATEN,-7.7,110.6
2881,Pasar Johar,IDN,JAWA TENGAH,KOTA SEMARANG,-6.98,110.44
2882,Pasar Peterongan,IDN,JAWA TENGAH,KOTA SEMARANG,-7,110.43
2883,Pasar Gede (Kota Surakarta),IDN,JAWA TENGAH,KOTA SURAKARTA,-7.57,110.83
2884,Pasar Legi (Kota Surakarta),IDN,JAWA TENGAH,KOTA SURAKARTA,-7.56,110.82
2885,Pasar Anyar Martoloyo (Kota Tegal),IDN,JAWA TENGAH,KOTA TEGAL,-6.86,109.15
2886,Pasar Pagi (Kota Tegal),IDN,JAWA TENGAH,KOTA TEGAL,-6.86,109.14
2887,Pasar Bitingan,IDN,JAWA TENGAH,KUDUS,-6.82,110.84
2888,Pasar Kliwon,IDN,JAWA TENGAH,KUDUS,-6.8,110.85
2889,Pasar Bunder,IDN,JAWA TENGAH,SRAGEN,-7.43,111.02
2890,Pasar Gemolong,IDN,JAWA TENGAH,SRAGEN,-7.4,110.83
2891,Pasar Kartasura,IDN,JAWA TENGAH,SUKOHARJO,-7.55,110.74
2892,Pasar Sukoharjo,IDN,JAWA TENGAH,SUKOHARJO,-7.68,110.84
2893,Pasar Kota Wonogiri,IDN,JAWA TENGAH,WONOGIRI,-7.82,110.92
2894,Pasar Ngadirojo,IDN,JAWA TENGAH,WONOGIRI,-7.81,111
2895,Pasar Banyuwangi,IDN,JAWA TIMUR,BANYUWANGI,-8.21,114.37
2896,Pasar Rogojampi,IDN,JAWA TIMUR,BANYUWANGI,-8.31,114.3
2897,Pasar Kreyongan,IDN,JAWA TIMUR,JEMBER,-8.16,113.7
2898,Pasar Mangli,IDN,JAWA TIMUR,JEMBER,-8.19,113.65
2899,Pasar Tanjung (Kab. Jember),IDN,JAWA TIMUR,JEMBER,-8.17,113.7
2900,Pasar Legi (Kota Blitar),IDN,JAWA TIMUR,KOTA BLITAR,-8.1,112.16
2901,Pasar Pon,IDN,JAWA TIMUR,KOTA BLITAR,-8.09,112.17
2902,Pasar Pahing,IDN,JAWA TIMUR,KOTA KEDIRI,-7.82,112.02
2903,Pasar Setono Betek,IDN,JAWA TIMUR,KOTA KEDIRI,-7.82,112.02
2904,Pasar Besar (Kota Madiun),IDN,JAWA TIMUR,KOTA MADIUN,-7.63,111.52
2905,Pasar Sleko,IDN,JAWA TIMUR,KOTA MADIUN,-7.64,111.52
2906,Pasar Besar (Kota Malang),IDN,JAWA TIMUR,KOTA MALANG,-7.99,112.63
2907,Pasar Dinoyo,IDN,JAWA TIMUR,KOTA MALANG,-7.94,112.61
2908,Pasar Merjosari,IDN,JAWA TIMUR,KOTA MALANG,-7.94,112.59
2909,Pasar Baru (Kota Probolinggo),IDN,JAWA TIMUR,KOTA PROBOLINGGO,-7.76,113.22
2910,Pasar Wonoasih,IDN,JAWA TIMUR,KOTA PROBOLINGGO,-7.8,113.21
2911,Pasar Tambah Rejo,IDN,JAWA TIMUR,KOTA SURABAYA,-7.25,112.76
2912,Pasar Wonokromo,IDN,JAWA TIMUR,KOTA SURABAYA,-7.3,112.74
2913,Pasar Anom,IDN,JAWA TIMUR,SUMENEP,-7.02,113.86
2914,Pasar Bangka,IDN,JAWA TIMUR,SUMENEP,-7,113.87
2915,Pasar Dahlia,IDN,KALIMANTAN BARAT,KOTA PONTIANAK,-0.02,109.33
2916,Pasar Flamboyan,IDN,KALIMANTAN BARAT,KOTA PONTIANAK,-0.04,109.35
2917,Pasar Puring,IDN,KALIMANTAN BARAT,KOTA PONTIANAK,-0.02,109.34
2918,Pasar Teratai,IDN,KALIMANTAN BARAT,KOTA PONTIANAK,-0.01,109.31
2919,Pasar Beringin,IDN,KALIMANTAN BARAT,KOTA SINGKAWANG,0.91,108.99
2920,Pasar Kuala Alianyang,IDN,KALIMANTAN BARAT,KOTA SINGKAWANG,0.92,108.98
2921,Pasar Antasari,IDN,KALIMANTAN SELATAN,KOTA BANJARMASIN,-3.33,114.6
2922,Pasar Lama,IDN,KALIMANTAN SELATAN,KOTA BANJARMASIN,-3.31,114.59
2923,Pasar Tanjung (Kab. Tabalong),IDN,KALIMANTAN SELATAN,TABALONG,-2.17,115.39
2924,Pasar Besar (Kota Palangka Raya),IDN,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,-2.21,113.94
2925,Pasar Kahayan,IDN,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,-2.2,113.91
2926,Pasar Pusat Pembelanjaan Mentaya (ppm),IDN,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,-2.54,112.96
2927,Pasar Subuh Sampit,IDN,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,-2.54,112.96
2928,Pasar Klandasan,IDN,KALIMANTAN TIMUR,KOTA BALIKPAPAN,-1.28,116.83
2929,Pasar Pandan Sari,IDN,KALIMANTAN TIMUR,KOTA BALIKPAPAN,-1.24,116.82
2930,Pasar Loktuan,IDN,KALIMANTAN TIMUR,KOTA BONTANG,0.17,117.48
2931,Pasar Rawa Indah,IDN,KALIMANTAN TIMUR,KOTA BONTANG,0.12,117.5
2932,Pasar Pagi (Kota Samarinda),IDN,KALIMANTAN TIMUR,KOTA SAMARINDA,-0.5,117.15
2933,Pasar Segiri,IDN,KALIMANTAN TIMUR,KOTA SAMARINDA,-0.48,117.15
2934,Pasar Agro Politan,IDN,KALIMANTAN UTARA,BULUNGAN,2.83,117.36
2935,Pasar Induk Tj Selor,IDN,KALIMANTAN UTARA,BULUNGAN,2.85,117.37
2936,Pasar Gusher,IDN,KALIMANTAN UTARA,KOTA TARAKAN,3.31,117.58
2937,Pasar Tenguyun,IDN,KALIMANTAN UTARA,KOTA TARAKAN,3.3,117.61
2938,Pasar Hatta,IDN,KEPULAUAN BANGKA BELITUNG,BELITUNG,-2.75,107.65
2939,Pasar Tanjungpandan (Kab. Belitung),IDN,KEPULAUAN BANGKA BELITUNG,BELITUNG,-2.74,107.63
2940,Pasar Pagi (Kota Pangkal Pinang),IDN,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,-2.12,106.11
2941,Pasar Pembangunan,IDN,KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,-2.13,106.13
2942,Pasar Aviari,IDN,KEPULAUAN RIAU,KOTA BATAM,1.05,103.97
2943,Pasar Jodoh,IDN,KEPULAUAN RIAU,KOTA BATAM,1.15,104.01
2944,Pasar Sagulung,IDN,KEPULAUAN RIAU,KOTA BATAM,1.05,103.95
2945,Pasar Tos 3000 Jodoh,IDN,KEPULAUAN RIAU,KOTA BATAM,1.15,104.01
